GeneID	Symbol
ENSG00000162367	TAL1
ENSG00000186051	TAL2
ENSG00000187735	TCEA1
ENSG00000140262	TCF12
ENSG00000071564	TCF3
ENSG00000148737	TCF7L2
ENSG00000100721	TCL1A
ENSG00000187621	TCL6
ENSG00000138336	TET1
ENSG00000168769	TET2
ENSG00000068323	TFE3
ENSG00000112561	TFEB
ENSG00000114354	TFG
ENSG00000105619	TFPT
ENSG00000072274	TFRC
ENSG00000054118	THRAP3
ENSG00000107807	TLX1
ENSG00000164438	TLX3
ENSG00000184012	TMPRSS2
ENSG00000118503	TNFAIP3
ENSG00000157873	TNFRSF14
ENSG00000048462	TNFRSF17
ENSG00000198900	TOP1
ENSG00000141510	TP53
ENSG00000143549	TPM3
ENSG00000167460	TPM4
ENSG00000047410	TPR
ENSG00000173334	TRIB1
ENSG00000122779	TRIM24
ENSG00000204713	TRIM27
ENSG00000197323	TRIM33
ENSG00000100815	TRIP11
ENSG00000165699	TSC1
ENSG00000103197	TSC2
ENSG00000165409	TSHR
ENSG00000114999	TTL
ENSG00000160201	U2AF1
ENSG00000275895	U2AF1
ENSG00000129204	USP6
ENSG00000134086	VHL
ENSG00000151532	VTI1A
ENSG00000015285	WAS
ENSG00000109685	WHSC1
ENSG00000147548	WHSC1L1
ENSG00000156076	WIF1
ENSG00000165392	WRN
ENSG00000184937	WT1
ENSG00000018408	WWTR1
ENSG00000136936	XPA
ENSG00000154767	XPC
ENSG00000082898	XPO1
ENSG00000137693	YAP1
ENSG00000127337	YEATS4
ENSG00000166913	YWHAB
ENSG00000108953	YWHAE
ENSG00000134308	YWHAQ
ENSG00000164924	YWHAZ
ENSG00000109906	ZBTB16
ENSG00000121741	ZMYM2
ENSG00000171940	ZNF217
ENSG00000130844	ZNF331
ENSG00000126746	ZNF384
ENSG00000198795	ZNF521
ENSG00000121864	ZNF639
ENSG00000169249	ZRSR2
